Category,Resume
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: TensorFlow, CNN, PyTorch, RNN, scikit-learn
Experience: 5 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: RNN, scikit-learn, CNN, GAN, TensorFlow
Experience: 5 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: GAN, CNN, RNN, scikit-learn, TensorFlow
Experience: 2 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: scikit-learn, RNN, PyTorch, CNN, TensorFlow
Experience: 4 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: PostgreSQL, Backup, Replication, Indexing, Oracle
Experience: 5 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Oracle, Indexing, PostgreSQL, SQL, Backup
Experience: 4 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Oracle, Indexing, Backup, PostgreSQL, Replication
Experience: 2 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: SQL, Oracle, Backup, Indexing, PostgreSQL
Experience: 5 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: PostgreSQL, Replication, SQL, Oracle, Backup
Experience: 1 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Replication, Oracle, SQL, PostgreSQL, Backup
Experience: 5 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Oracle, SQL, Backup, Replication, Indexing
Experience: 2 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Indexing, Oracle, PostgreSQL, Replication, Backup
Experience: 3 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: SQL, PostgreSQL, Backup, Replication, Oracle
Experience: 4 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Indexing, Backup, Oracle, Replication, PostgreSQL
Experience: 2 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Oracle, PostgreSQL, Indexing, SQL, Replication
Experience: 3 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Indexing, Oracle, PostgreSQL, Backup, Replication
Experience: 5 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: JIRA, Agile, Stakeholder Management, Scrum, Roadmapping
Experience: 5 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: JIRA, Agile, Stakeholder Management, Scrum, Roadmapping
Experience: 1 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Stakeholder Management, Agile, Roadmapping, JIRA, Scrum
Experience: 2 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Agile, JIRA, Scrum, Stakeholder Management, Roadmapping
Experience: 3 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Roadmapping, Scrum, Stakeholder Management, JIRA, Agile
Experience: 3 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Stakeholder Management, Scrum, Roadmapping, JIRA, Agile
Experience: 5 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Roadmapping, JIRA, Scrum, Stakeholder Management, Agile
Experience: 4 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Roadmapping, Scrum, JIRA, Stakeholder Management, Agile
Experience: 2 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Scrum, Agile, JIRA, Stakeholder Management, Roadmapping
Experience: 5 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Agile, Scrum, Roadmapping, JIRA, Stakeholder Management
Experience: 2 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: JIRA, Stakeholder Management, Roadmapping, Scrum, Agile
Experience: 1 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Stakeholder Management, Scrum, Agile, Roadmapping, JIRA
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Helpdesk, Troubleshooting, Ticketing, Remote Support
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Remote Support, Helpdesk, Ticketing
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Ticketing, Remote Support, Helpdesk
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Ticketing, Helpdesk, Troubleshooting, Remote Support
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Helpdesk, Ticketing, Remote Support
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Ticketing, Remote Support, Helpdesk, Troubleshooting
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Ticketing, Troubleshooting, Helpdesk, Remote Support
Experience: 2 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Helpdesk, Ticketing, Remote Support, Troubleshooting
Experience: 4 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Ticketing, Remote Support, Helpdesk
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Helpdesk, Remote Support, Ticketing, Troubleshooting
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Helpdesk, Ticketing, Remote Support, Troubleshooting
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Helpdesk, Ticketing, Remote Support
Experience: 2 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: BGP, Cisco, Switching, OSPF, LAN/WAN
Experience: 3 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: BGP, Switching, OSPF, Routing, Cisco
Experience: 1 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: Routing, Switching, BGP, OSPF, Cisco
Experience: 1 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: BGP, OSPF, Cisco, Routing, LAN/WAN
Experience: 2 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: Cisco, LAN/WAN, OSPF, Switching, BGP
Experience: 4 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: OSPF, BGP, LAN/WAN, Cisco, Routing
Experience: 5 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: LAN/WAN, Cisco, BGP, Switching, OSPF
Experience: 2 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: BGP, Cisco, Routing, Switching, LAN/WAN
Experience: 4 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: BGP, Switching, LAN/WAN, Cisco, OSPF
Experience: 2 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: Cisco, Switching, Routing, BGP, LAN/WAN
Experience: 4 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: Routing, LAN/WAN, OSPF, Cisco, BGP
Experience: 3 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: Routing, BGP, OSPF, Switching, LAN/WAN
Experience: 2 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: Linux, Bash, PowerShell, Windows Server, Active Directory
Experience: 2 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: Linux, Active Directory, PowerShell, Windows Server, Bash
Experience: 2 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: Windows Server, Linux, PowerShell, Active Directory, Bash
Experience: 3 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: Active Directory, Windows Server, Linux, PowerShell, Bash
Experience: 4 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: PowerShell, Bash, Active Directory, Windows Server, Linux
Experience: 3 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: Active Directory, Windows Server, Linux, PowerShell, Bash
Experience: 1 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: Bash, PowerShell, Windows Server, Active Directory, Linux
Experience: 5 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: Active Directory, Linux, Bash, PowerShell, Windows Server
Experience: 3 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: Bash, PowerShell, Windows Server, Active Directory, Linux
Experience: 2 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: PowerShell, Bash, Windows Server, Linux, Active Directory
Experience: 4 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: Active Directory, Bash, Linux, PowerShell, Windows Server
Experience: 3 years
Education: B.Tech in relevant field"
Systems Administrator,"Systems Administrator Resume:
Skills: PowerShell, Bash, Active Directory, Linux, Windows Server
Experience: 3 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Off-page SEO, Google Analytics, Keyword Research, On-page SEO
Experience: 3 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Keyword Research, Google Analytics, On-page SEO, Off-page SEO
Experience: 3 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Keyword Research, Off-page SEO, Google Analytics, On-page SEO
Experience: 1 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: On-page SEO, Google Analytics, Off-page SEO, Keyword Research
Experience: 5 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Off-page SEO, On-page SEO, Keyword Research, Google Analytics
Experience: 3 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Keyword Research, On-page SEO, Google Analytics, Off-page SEO
Experience: 4 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Off-page SEO, Google Analytics, On-page SEO, Keyword Research
Experience: 5 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Keyword Research, Google Analytics, Off-page SEO, On-page SEO
Experience: 4 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Off-page SEO, On-page SEO, Keyword Research, Google Analytics
Experience: 4 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Off-page SEO, Google Analytics, On-page SEO, Keyword Research
Experience: 5 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Keyword Research, Google Analytics, On-page SEO, Off-page SEO
Experience: 2 years
Education: B.Tech in relevant field"
SEO Specialist,"SEO Specialist Resume:
Skills: Keyword Research, Google Analytics, On-page SEO, Off-page SEO
Experience: 5 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: SEO Writing, Blogging, Copywriting, Technical Writing, Proofreading
Experience: 1 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Proofreading, SEO Writing, Blogging, Technical Writing, Copywriting
Experience: 1 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Technical Writing, Copywriting, Blogging, Proofreading, SEO Writing
Experience: 1 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Blogging, Technical Writing, SEO Writing, Copywriting, Proofreading
Experience: 1 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Copywriting, Proofreading, SEO Writing, Blogging, Technical Writing
Experience: 1 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Blogging, SEO Writing, Copywriting, Proofreading, Technical Writing
Experience: 4 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Proofreading, Technical Writing, Copywriting, Blogging, SEO Writing
Experience: 3 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Blogging, Technical Writing, Proofreading, SEO Writing, Copywriting
Experience: 5 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Blogging, SEO Writing, Technical Writing, Copywriting, Proofreading
Experience: 5 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Copywriting, Technical Writing, Blogging, SEO Writing, Proofreading
Experience: 4 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Copywriting, Technical Writing, SEO Writing, Proofreading, Blogging
Experience: 3 years
Education: B.Tech in relevant field"
Content Writer,"Content Writer Resume:
Skills: Technical Writing, SEO Writing, Blogging, Proofreading, Copywriting
Experience: 5 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: C#, ARCore, Unity, ARKit, 3D Modeling
Experience: 2 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: C#, ARKit, 3D Modeling, Unity, ARCore
Experience: 4 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: C#, Unity, ARKit, 3D Modeling, ARCore
Experience: 1 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: 3D Modeling, C#, ARCore, ARKit, Unity
Experience: 5 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: ARKit, ARCore, C#, 3D Modeling, Unity
Experience: 1 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: 3D Modeling, C#, Unity, ARKit, ARCore
Experience: 2 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: 3D Modeling, ARKit, Unity, ARCore, C#
Experience: 4 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: Unity, 3D Modeling, ARCore, ARKit, C#
Experience: 5 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: ARKit, Unity, C#, ARCore, 3D Modeling
Experience: 5 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: C#, 3D Modeling, ARKit, ARCore, Unity
Experience: 4 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: ARKit, C#, ARCore, 3D Modeling, Unity
Experience: 4 years
Education: B.Tech in relevant field"
AR/VR Developer,"AR/VR Developer Resume:
Skills: 3D Modeling, Unity, C#, ARCore, ARKit
Experience: 4 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: WooCommerce, Product Listings, Shopify, Magento, Conversion Optimization
Experience: 5 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Shopify, Magento, WooCommerce, Conversion Optimization, Product Listings
Experience: 5 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: WooCommerce, Magento, Conversion Optimization, Product Listings, Shopify
Experience: 3 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Product Listings, Shopify, Magento, WooCommerce, Conversion Optimization
Experience: 4 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Shopify, Product Listings, Conversion Optimization, Magento, WooCommerce
Experience: 1 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Conversion Optimization, Magento, Shopify, WooCommerce, Product Listings
Experience: 3 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Conversion Optimization, Product Listings, Shopify, WooCommerce, Magento
Experience: 1 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Conversion Optimization, Magento, Shopify, Product Listings, WooCommerce
Experience: 5 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Magento, Product Listings, Conversion Optimization, WooCommerce, Shopify
Experience: 2 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Magento, Shopify, Conversion Optimization, Product Listings, WooCommerce
Experience: 3 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Conversion Optimization, WooCommerce, Shopify, Product Listings, Magento
Experience: 1 years
Education: B.Tech in relevant field"
E-commerce Specialist,"E-commerce Specialist Resume:
Skills: Product Listings, Magento, WooCommerce, Shopify, Conversion Optimization
Experience: 4 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: Tableau, SQL, DAX, Data Warehousing, Power BI
Experience: 4 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: DAX, Tableau, Data Warehousing, Power BI, SQL
Experience: 1 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: Power BI, Data Warehousing, Tableau, SQL, DAX
Experience: 2 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: Tableau, Power BI, Data Warehousing, DAX, SQL
Experience: 4 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: SQL, Power BI, Data Warehousing, DAX, Tableau
Experience: 4 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: DAX, SQL, Data Warehousing, Tableau, Power BI
Experience: 4 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: SQL, Tableau, Power BI, Data Warehousing, DAX
Experience: 4 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: DAX, Power BI, Tableau, SQL, Data Warehousing
Experience: 5 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: SQL, Tableau, DAX, Data Warehousing, Power BI
Experience: 1 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: Data Warehousing, Tableau, SQL, Power BI, DAX
Experience: 1 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: DAX, Power BI, Data Warehousing, Tableau, SQL
Experience: 3 years
Education: B.Tech in relevant field"
Business Intelligence Analyst,"Business Intelligence Analyst Resume:
Skills: DAX, SQL, Power BI, Tableau, Data Warehousing
Experience: 2 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Actuators, Embedded Systems, Sensors, ROS, Control Systems
Experience: 2 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Sensors, ROS, Control Systems, Actuators, Embedded Systems
Experience: 1 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Actuators, Embedded Systems, Control Systems, ROS, Sensors
Experience: 1 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Embedded Systems, Actuators, Sensors, ROS, Control Systems
Experience: 4 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Control Systems, Actuators, Sensors, Embedded Systems, ROS
Experience: 4 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Embedded Systems, Control Systems, ROS, Actuators, Sensors
Experience: 1 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: ROS, Sensors, Actuators, Embedded Systems, Control Systems
Experience: 5 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Control Systems, ROS, Sensors, Embedded Systems, Actuators
Experience: 4 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: ROS, Control Systems, Embedded Systems, Sensors, Actuators
Experience: 4 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Sensors, Control Systems, Actuators, Embedded Systems, ROS
Experience: 4 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Embedded Systems, Control Systems, Sensors, ROS, Actuators
Experience: 2 years
Education: B.Tech in relevant field"
Robotics Engineer,"Robotics Engineer Resume:
Skills: Sensors, Control Systems, ROS, Embedded Systems, Actuators
Experience: 5 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: DevOps, System Design, Integration, Cloud Architecture, Client Communication
Experience: 4 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Client Communication, Integration, DevOps, Cloud Architecture, System Design
Experience: 5 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Client Communication, DevOps, Integration, System Design, Cloud Architecture
Experience: 5 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Cloud Architecture, DevOps, Client Communication, System Design, Integration
Experience: 4 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Client Communication, System Design, Integration, Cloud Architecture, DevOps
Experience: 1 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Integration, Cloud Architecture, System Design, DevOps, Client Communication
Experience: 2 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Integration, DevOps, System Design, Client Communication, Cloud Architecture
Experience: 2 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Integration, DevOps, System Design, Cloud Architecture, Client Communication
Experience: 1 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Cloud Architecture, Client Communication, Integration, System Design, DevOps
Experience: 1 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: DevOps, Client Communication, Cloud Architecture, System Design, Integration
Experience: 3 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Integration, DevOps, Cloud Architecture, System Design, Client Communication
Experience: 5 years
Education: B.Tech in relevant field"
Solutions Architect,"Solutions Architect Resume:
Skills: Client Communication, DevOps, Integration, System Design, Cloud Architecture
Experience: 4 years
Education: B.Tech in relevant field"
